"key","value","date","uniqueWellIdentifier","activityType"
Oil,326,"03/01/1992",3501522889,PRODUCTION
Oil,322,"03/02/1992",3501522889,PRODUCTION
Oil,317,"03/03/1992",3501522889,PRODUCTION
Oil,313,"03/04/1992",3501522889,PRODUCTION
Oil,309,"03/05/1992",3501522889,PRODUCTION
Oil,305,"03/06/1992",3501522889,PRODUCTION
Oil,300,"03/07/1992",3501522889,PRODUCTION
Oil,296,"03/08/1992",3501522889,PRODUCTION
Oil,292,"03/09/1992",3501522889,PRODUCTION
Oil,288,"03/10/1992",3501522889,PRODUCTION
Oil,283,"03/11/1992",3501522889,PRODUCTION
Oil,279,"03/12/1992",3501522889,PRODUCTION
Oil,275,"03/13/1992",3501522889,PRODUCTION
Oil,271,"03/14/1992",3501522889,PRODUCTION
Oil,266,"03/15/1992",3501522889,PRODUCTION
Oil,262,"03/16/1992",3501522889,PRODUCTION
Oil,258,"03/17/1992",3501522889,PRODUCTION
Oil,254,"03/18/1992",3501522889,PRODUCTION
Oil,249,"03/19/1992",3501522889,PRODUCTION
Oil,245,"03/20/1992",3501522889,PRODUCTION
Oil,241,"03/21/1992",3501522889,PRODUCTION
Oil,237,"03/22/1992",3501522889,PRODUCTION
Oil,232,"03/23/1992",3501522889,PRODUCTION
Oil,228,"03/24/1992",3501522889,PRODUCTION
Oil,224,"03/25/1992",3501522889,PRODUCTION
Oil,220,"03/26/1992",3501522889,PRODUCTION
Oil,215,"03/27/1992",3501522889,PRODUCTION
Oil,211,"03/28/1992",3501522889,PRODUCTION
Oil,207,"03/29/1992",3501522889,PRODUCTION
Oil,203,"03/30/1992",3501522889,PRODUCTION
Oil,198,"03/31/1992",3501522889,PRODUCTION
Oil,194,"04/01/1992",3501522889,PRODUCTION
Oil,199,"04/02/1992",3501522889,PRODUCTION
Oil,205,"04/03/1992",3501522889,PRODUCTION
Oil,210,"04/04/1992",3501522889,PRODUCTION
Oil,215,"04/05/1992",3501522889,PRODUCTION
Oil,220,"04/06/1992",3501522889,PRODUCTION
Oil,226,"04/07/1992",3501522889,PRODUCTION
Oil,231,"04/08/1992",3501522889,PRODUCTION
Oil,236,"04/09/1992",3501522889,PRODUCTION
Oil,241,"04/10/1992",3501522889,PRODUCTION
Oil,247,"04/11/1992",3501522889,PRODUCTION
Oil,252,"04/12/1992",3501522889,PRODUCTION
Oil,257,"04/13/1992",3501522889,PRODUCTION
Oil,263,"04/14/1992",3501522889,PRODUCTION
Oil,268,"04/15/1992",3501522889,PRODUCTION
Oil,273,"04/16/1992",3501522889,PRODUCTION
Oil,278,"04/17/1992",3501522889,PRODUCTION
Oil,284,"04/18/1992",3501522889,PRODUCTION
Oil,289,"04/19/1992",3501522889,PRODUCTION
Oil,294,"04/20/1992",3501522889,PRODUCTION
Oil,299,"04/21/1992",3501522889,PRODUCTION
Oil,305,"04/22/1992",3501522889,PRODUCTION
Oil,310,"04/23/1992",3501522889,PRODUCTION
Oil,315,"04/24/1992",3501522889,PRODUCTION
Oil,321,"04/25/1992",3501522889,PRODUCTION
Oil,326,"04/26/1992",3501522889,PRODUCTION
Oil,331,"04/27/1992",3501522889,PRODUCTION
Oil,336,"04/28/1992",3501522889,PRODUCTION
Oil,342,"04/29/1992",3501522889,PRODUCTION
Oil,347,"04/30/1992",3501522889,PRODUCTION
Oil,352,"05/01/1992",3501522889,PRODUCTION
Oil,352,"05/01/1992",3501522889,PRODUCTION
Oil,348,"05/02/1992",3501522889,PRODUCTION
Oil,344,"05/03/1992",3501522889,PRODUCTION
Oil,340,"05/04/1992",3501522889,PRODUCTION
Oil,336,"05/05/1992",3501522889,PRODUCTION
Oil,333,"05/06/1992",3501522889,PRODUCTION
Oil,329,"05/07/1992",3501522889,PRODUCTION
Oil,325,"05/08/1992",3501522889,PRODUCTION
Oil,321,"05/09/1992",3501522889,PRODUCTION
Oil,317,"05/10/1992",3501522889,PRODUCTION
Oil,313,"05/11/1992",3501522889,PRODUCTION
Oil,310,"05/12/1992",3501522889,PRODUCTION
Oil,306,"05/13/1992",3501522889,PRODUCTION
Oil,302,"05/14/1992",3501522889,PRODUCTION
Oil,298,"05/15/1992",3501522889,PRODUCTION
Oil,294,"05/16/1992",3501522889,PRODUCTION
Oil,290,"05/17/1992",3501522889,PRODUCTION
Oil,287,"05/18/1992",3501522889,PRODUCTION
Oil,283,"05/19/1992",3501522889,PRODUCTION
Oil,279,"05/20/1992",3501522889,PRODUCTION
Oil,275,"05/21/1992",3501522889,PRODUCTION
Oil,271,"05/22/1992",3501522889,PRODUCTION
Oil,267,"05/23/1992",3501522889,PRODUCTION
Oil,264,"05/24/1992",3501522889,PRODUCTION
Oil,260,"05/25/1992",3501522889,PRODUCTION
Oil,256,"05/26/1992",3501522889,PRODUCTION
Oil,252,"05/27/1992",3501522889,PRODUCTION
Oil,248,"05/28/1992",3501522889,PRODUCTION
Oil,244,"05/29/1992",3501522889,PRODUCTION
Oil,241,"05/30/1992",3501522889,PRODUCTION
Oil,237,"05/31/1992",3501522889,PRODUCTION
Oil,233,"06/01/1992",3501522889,PRODUCTION
Oil,233,"06/01/1992",3501522889,PRODUCTION
Oil,230,"06/02/1992",3501522889,PRODUCTION
Oil,227,"06/03/1992",3501522889,PRODUCTION
Oil,223,"06/04/1992",3501522889,PRODUCTION
Oil,220,"06/05/1992",3501522889,PRODUCTION
Oil,217,"06/06/1992",3501522889,PRODUCTION
Oil,214,"06/07/1992",3501522889,PRODUCTION
Oil,211,"06/08/1992",3501522889,PRODUCTION
Oil,208,"06/09/1992",3501522889,PRODUCTION
Oil,204,"06/10/1992",3501522889,PRODUCTION
Oil,201,"06/11/1992",3501522889,PRODUCTION
Oil,198,"06/12/1992",3501522889,PRODUCTION
Oil,195,"06/13/1992",3501522889,PRODUCTION
Oil,192,"06/14/1992",3501522889,PRODUCTION
Oil,189,"06/15/1992",3501522889,PRODUCTION
Oil,185,"06/16/1992",3501522889,PRODUCTION
Oil,182,"06/17/1992",3501522889,PRODUCTION
Oil,179,"06/18/1992",3501522889,PRODUCTION
Oil,176,"06/19/1992",3501522889,PRODUCTION
Oil,173,"06/20/1992",3501522889,PRODUCTION
Oil,170,"06/21/1992",3501522889,PRODUCTION
Oil,166,"06/22/1992",3501522889,PRODUCTION
Oil,163,"06/23/1992",3501522889,PRODUCTION
Oil,160,"06/24/1992",3501522889,PRODUCTION
Oil,157,"06/25/1992",3501522889,PRODUCTION
Oil,154,"06/26/1992",3501522889,PRODUCTION
Oil,151,"06/27/1992",3501522889,PRODUCTION
Oil,147,"06/28/1992",3501522889,PRODUCTION
Oil,144,"06/29/1992",3501522889,PRODUCTION
Oil,141,"06/30/1992",3501522889,PRODUCTION
Oil,138,"07/01/1992",3501522889,PRODUCTION
Oil,138,"07/01/1992",3501522889,PRODUCTION
Oil,135,"07/02/1992",3501522889,PRODUCTION
Oil,132,"07/03/1992",3501522889,PRODUCTION
Oil,129,"07/04/1992",3501522889,PRODUCTION
Oil,127,"07/05/1992",3501522889,PRODUCTION
Oil,124,"07/06/1992",3501522889,PRODUCTION
Oil,121,"07/07/1992",3501522889,PRODUCTION
Oil,118,"07/08/1992",3501522889,PRODUCTION
Oil,115,"07/09/1992",3501522889,PRODUCTION
Oil,112,"07/10/1992",3501522889,PRODUCTION
Oil,109,"07/11/1992",3501522889,PRODUCTION
Oil,107,"07/12/1992",3501522889,PRODUCTION
Oil,104,"07/13/1992",3501522889,PRODUCTION
Oil,101,"07/14/1992",3501522889,PRODUCTION
Oil,98,"07/15/1992",3501522889,PRODUCTION
Oil,95,"07/16/1992",3501522889,PRODUCTION
Oil,92,"07/17/1992",3501522889,PRODUCTION
Oil,90,"07/18/1992",3501522889,PRODUCTION
Oil,87,"07/19/1992",3501522889,PRODUCTION
Oil,84,"07/20/1992",3501522889,PRODUCTION
Oil,81,"07/21/1992",3501522889,PRODUCTION
Oil,78,"07/22/1992",3501522889,PRODUCTION
Oil,75,"07/23/1992",3501522889,PRODUCTION
Oil,73,"07/24/1992",3501522889,PRODUCTION
Oil,70,"07/25/1992",3501522889,PRODUCTION
Oil,67,"07/26/1992",3501522889,PRODUCTION
Oil,64,"07/27/1992",3501522889,PRODUCTION
Oil,61,"07/28/1992",3501522889,PRODUCTION
Oil,58,"07/29/1992",3501522889,PRODUCTION
Oil,56,"07/30/1992",3501522889,PRODUCTION
Oil,53,"07/31/1992",3501522889,PRODUCTION
Oil,50,"08/01/1992",3501522889,PRODUCTION
Oil,50,"08/01/1992",3501522889,PRODUCTION
Oil,54,"08/02/1992",3501522889,PRODUCTION
Oil,58,"08/03/1992",3501522889,PRODUCTION
Oil,61,"08/04/1992",3501522889,PRODUCTION
Oil,65,"08/05/1992",3501522889,PRODUCTION
Oil,69,"08/06/1992",3501522889,PRODUCTION
Oil,72,"08/07/1992",3501522889,PRODUCTION
Oil,76,"08/08/1992",3501522889,PRODUCTION
Oil,80,"08/09/1992",3501522889,PRODUCTION
Oil,83,"08/10/1992",3501522889,PRODUCTION
Oil,87,"08/11/1992",3501522889,PRODUCTION
Oil,91,"08/12/1992",3501522889,PRODUCTION
Oil,94,"08/13/1992",3501522889,PRODUCTION
Oil,98,"08/14/1992",3501522889,PRODUCTION
Oil,102,"08/15/1992",3501522889,PRODUCTION
Oil,105,"08/16/1992",3501522889,PRODUCTION
Oil,109,"08/17/1992",3501522889,PRODUCTION
Oil,113,"08/18/1992",3501522889,PRODUCTION
Oil,116,"08/19/1992",3501522889,PRODUCTION
Oil,120,"08/20/1992",3501522889,PRODUCTION
Oil,124,"08/21/1992",3501522889,PRODUCTION
Oil,127,"08/22/1992",3501522889,PRODUCTION
Oil,131,"08/23/1992",3501522889,PRODUCTION
Oil,135,"08/24/1992",3501522889,PRODUCTION
Oil,138,"08/25/1992",3501522889,PRODUCTION
Oil,142,"08/26/1992",3501522889,PRODUCTION
Oil,146,"08/27/1992",3501522889,PRODUCTION
Oil,149,"08/28/1992",3501522889,PRODUCTION
Oil,153,"08/29/1992",3501522889,PRODUCTION
Oil,157,"08/30/1992",3501522889,PRODUCTION
Oil,160,"08/31/1992",3501522889,PRODUCTION
Oil,164,"09/01/1992",3501522889,PRODUCTION
Oil,164,"09/01/1992",3501522889,PRODUCTION
Oil,175,"09/02/1992",3501522889,PRODUCTION
Oil,186,"09/03/1992",3501522889,PRODUCTION
Oil,197,"09/04/1992",3501522889,PRODUCTION
Oil,208,"09/05/1992",3501522889,PRODUCTION
Oil,219,"09/06/1992",3501522889,PRODUCTION
Oil,230,"09/07/1992",3501522889,PRODUCTION
Oil,241,"09/08/1992",3501522889,PRODUCTION
Oil,252,"09/09/1992",3501522889,PRODUCTION
Oil,263,"09/10/1992",3501522889,PRODUCTION
Oil,273,"09/11/1992",3501522889,PRODUCTION
Oil,284,"09/12/1992",3501522889,PRODUCTION
Oil,295,"09/13/1992",3501522889,PRODUCTION
Oil,306,"09/14/1992",3501522889,PRODUCTION
Oil,317,"09/15/1992",3501522889,PRODUCTION
Oil,328,"09/16/1992",3501522889,PRODUCTION
Oil,339,"09/17/1992",3501522889,PRODUCTION
Oil,350,"09/18/1992",3501522889,PRODUCTION
Oil,361,"09/19/1992",3501522889,PRODUCTION
Oil,372,"09/20/1992",3501522889,PRODUCTION
Oil,382,"09/21/1992",3501522889,PRODUCTION
Oil,393,"09/22/1992",3501522889,PRODUCTION
Oil,404,"09/23/1992",3501522889,PRODUCTION
Oil,415,"09/24/1992",3501522889,PRODUCTION
Oil,426,"09/25/1992",3501522889,PRODUCTION
Oil,437,"09/26/1992",3501522889,PRODUCTION
Oil,448,"09/27/1992",3501522889,PRODUCTION
